index,anchor_negative_cosine
0,0.5261541604995728
1,0.8663225173950195
2,0.8663225173950195
3,0.8663225173950195
4,0.8663225173950195
5,0.8663225173950195
6,0.8576337099075317
7,0.8508918285369873
8,0.8663225173950195
9,0.8574814796447754
10,0.8663225173950195
11,0.5592788457870483
12,0.468679815530777
13,0.9638149738311768
14,0.5797529220581055
15,0.8663225173950195
16,0.7862139940261841
17,0.5654236674308777
18,0.8663225173950195
19,0.9309707880020142
20,0.8274659514427185
21,0.8839510679244995
22,1.0000001192092896
23,0.7899343371391296
24,0.8663225173950195
25,0.8663225173950195
26,0.6629214286804199
27,0.8663225173950195
28,0.8663225173950195
29,0.8897813558578491
30,0.9249544143676758
31,0.6124857664108276
32,0.8788961172103882
33,0.8773488402366638
34,0.8663225173950195
35,0.5592788457870483
36,0.7817071676254272
37,0.6984861493110657
38,0.41531628370285034
39,0.9638149738311768
40,0.8127986192703247
41,0.8897813558578491
42,0.5592788457870483
43,0.8663225173950195
44,0.8663225173950195
45,0.7861391305923462
46,0.8375750780105591
47,0.8573558926582336
48,0.6343252658843994
49,0.8663225173950195
50,0.8663225173950195
51,0.52808678150177
52,0.8663225173950195
53,0.7821991443634033
54,0.8663225173950195
55,0.8304356932640076
56,0.7331947088241577
57,0.8663225173950195
58,0.7804453372955322
59,0.8663225173950195
60,0.7331947088241577
61,0.8839510679244995
62,0.9193049073219299
63,0.6102193593978882
64,0.7195798754692078
65,0.7981234788894653
66,0.8701282739639282
67,0.8663225173950195
68,0.5588836669921875
69,0.8241403102874756
70,0.5592788457870483
71,0.6681892275810242
72,0.8508918285369873
73,0.8941766023635864
74,0.8663225173950195
75,0.8663225173950195
76,0.5446381568908691
77,0.5611692667007446
78,0.8663225173950195
79,0.4563907980918884
80,0.7420090436935425
81,0.8155859708786011
82,0.47884511947631836
83,0.8663225173950195
84,0.4658935070037842
85,0.6352131366729736
86,0.8663225173950195
87,0.5864533185958862
88,0.8573558926582336
89,0.4397222399711609
90,0.8839510679244995
91,0.5699321031570435
92,0.6850825548171997
93,0.849125862121582
94,0.42153728008270264
95,0.8949744701385498
96,0.8663225173950195
97,0.8444938659667969
98,0.7940130829811096
99,0.8663225173950195
100,0.8663225173950195
101,0.5055462121963501
102,0.9338390827178955
103,0.9632450342178345
104,0.8663225173950195
105,0.49420154094696045
106,0.7861391305923462
107,0.5054051280021667
108,1.0000001192092896
109,0.5217711329460144
110,0.8116648197174072
111,0.5291115641593933
112,0.9612139463424683
113,0.8155859708786011
114,0.5648218393325806
115,0.8663225173950195
116,0.4834609627723694
117,0.4446869492530823
118,0.44162264466285706
119,1.0000001192092896
120,0.5469048023223877
121,0.5703957080841064
122,0.8574814796447754
123,0.9181694984436035
124,0.606733500957489
125,0.9164215922355652
126,0.7195798754692078
127,0.80031818151474
128,0.7468743324279785
129,0.57574862241745
130,0.5067408680915833
131,0.5526981353759766
132,0.44939619302749634
133,0.7828491926193237
134,0.8663225173950195
135,0.7835177183151245
136,0.8495572805404663
137,0.5768133401870728
138,0.9259859323501587
139,0.8450860977172852
140,0.7607936859130859
141,0.9022629261016846
142,0.8450860977172852
143,0.8116648197174072
144,0.8663225173950195
145,0.8663225173950195
146,0.9012389183044434
147,0.7420090436935425
148,0.8663225173950195
149,0.8942449688911438
150,0.8839510679244995
151,0.8663225173950195
152,0.5052438974380493
153,0.8663225173950195
154,0.5481827259063721
155,0.8663225173950195
156,0.8663225173950195
157,0.9038833379745483
158,0.539668619632721
159,0.4337136745452881
160,0.6192218065261841
161,0.514133870601654
162,0.8941766023635864
163,0.8574814796447754
164,0.7406799793243408
165,0.8241403102874756
166,0.7966705560684204
167,0.8663225173950195
168,0.8663225173950195
169,0.6811387538909912
170,0.8663225173950195
171,1.0000001192092896
172,0.7304568290710449
173,0.571710467338562
174,0.8663225173950195
175,0.6811387538909912
176,0.8714610934257507
177,0.37374675273895264
178,0.5592788457870483
179,0.5816622972488403
180,0.5774922370910645
181,0.7809323668479919
182,0.8363473415374756
183,0.48464235663414
184,0.8663225173950195
185,0.799049973487854
186,0.5549623966217041
187,0.7149471044540405
188,0.7804453372955322
189,0.6493967771530151
190,0.8663225173950195
191,0.8187199831008911
192,0.9193048477172852
193,0.6021023988723755
