count,type,codename,friendlyname,review
1,action,FA_Note_PostSaveBookMIF,note post save book mif,
1,action,FA_Note_PostSaveDoc,note post save document,
1,action,FA_Note_PostSaveMIF,note post save mif,
1,action,FA_Note_PostSaveSGML,note post save sgml,
1,action,FA_Note_PostSaveXML,note post save xml,
1,action,FA_Note_PostSetAttrValue,note post set attribute value,
1,action,FA_Note_PostSetConstantValue,note post set constant value,
1,action,FA_Note_PostSwitchView,note post switch view,
1,action,FA_Note_PostUpdateXRefs,note post update x refs,
1,action,FA_Note_PostWrapElement,note post wrap element,
1,action,FA_Note_Poster_Applied,note poster applied,
1,action,FA_Note_PreAutoSaveDoc,note pre auto save document,
1,action,FA_Note_PreChangeElement,note pre change element,
1,action,FA_Note_PreCopyElement,note pre copy element,
1,action,FA_Note_PreDistill,note pre distill,
1,action,FA_Note_PreDragElement,note pre drag element,
1,action,FA_Note_PreExport,note pre export,
1,action,FA_Note_PreFileType,note pre file type,
1,action,FA_Note_PreFunction,note pre function,
1,action,FA_Note_PreGenerate,note pre generate,
1,action,FA_Note_PreGoToXrefSrc,note pre go to cross reference (XREF) source,
1,action,FA_Note_PreHypertext,note pre hypertext,
1,action,FA_Note_PreImport,note pre import,
1,action,FA_Note_PreInlineTypeIn,note pre inline type in,
1,action,FA_Note_PreInsertElement,note pre insert element,
1,action,FA_Note_PreMouseCommand,note pre mouse command,
1,action,FA_Note_PreOpenBook,note pre open book,
1,action,FA_Note_PreOpenBookMIF,note pre open book mif,
1,action,FA_Note_PreOpenMIF,note pre open mif,
1,action,FA_Note_PreOpenSGML,note pre open sgml,
1,action,FA_Note_PreOpenXML,note pre open xml,
1,action,FA_Note_PrePrint,note pre print,
1,action,FA_Note_PrePublishDitamap,note pre publish ditamap,
1,action,FA_Note_PreQuitBook,note pre quit book,
1,action,FA_Note_PreQuitSession,note pre quit session,
1,action,FA_Note_PreRevertBook,note pre revert book,
1,action,FA_Note_PreRevertDoc,note pre revert document,
1,action,FA_Note_PreSaveAsPDFDialog,note pre save as pdf dialog,
1,action,FA_Note_PreSaveBook,note pre save book,
1,action,FA_Note_PreSaveBookMIF,note pre save book mif,
1,action,FA_Note_PreSaveMIF,note pre save mif,
1,action,FA_Note_PreSaveSGML,note pre save sgml,
1,action,FA_Note_PreSaveXML,note pre save xml,
1,action,FA_Note_PreSetAttrValue,note pre set attribute value,
1,action,FA_Note_PreSwitchView,note pre switch view,
1,action,FA_Note_PreUpdateXRefs,note pre update x refs,
1,action,FA_Note_PreWrapElement,note pre wrap element,
1,action,FA_Note_QuitModelessDialog,note quit modeless dialog,
1,action,FA_Note_RSC_Supported_File,note rsc supported file,
1,action,FA_Note_ReLoadKeyCatalog,note re load key catalog,
1,action,FA_Note_Read_Struct_App,note read struct app,
1,action,FA_Note_SWF_File,note swf file,
1,action,FA_Note_SetAttrValue,note set attribute value,
1,action,FA_Note_Struct_Wizard,note struct wizard,
1,action,FA_Note_ToolBar,note tool bar,
1,action,FA_Note_U3DCommand,note u3 d command,
1,action,FA_Note_URL,note url,
1,action,FA_Note_UndoCheckpoint,note undo checkpoint,
1,action,FA_Note_UpdateAllClientTi,note update all client text inset,
1,action,FA_Note_UpdateClientTi,note update client text inset,
1,action,FA_Note_UpdateDITAReference,note update dita reference,
1,action,FA_Note_UpdateDITAReferences,note update dita references,
1,action,FA_Note_UpdateRefs,note update refs,
1,action,FA_Note_UpdateRefs_On_Save,note update refs on save,
93,error,FE_BadDocId,bad document id,
72,error,FE_WrongProduct,wrong product,
53,error,FE_BadObjId,bad object id,
36,error,FE_BadParameter,bad parameter,
23,error,FE_BadOperation,bad operation,
20,error,FE_BadPropNum,bad property number,
19,error,FE_BadNew,bad new,
19,error,FE_NotTextObject,not text object,
19,error,FE_Success,success,
16,error,FE_CMSBadSessionId,content management system bad session id,
16,error,FE_OffsetNotFound,offset not found,
14,error,FE_CMSBadObjectId,content management system bad object id,
14,error,FE_SystemError,system error,
12,error,FE_BadName,bad name,
12,error,FE_Canceled,canceled,
12,error,FE_ReadOnly,read only,
11,error,FE_BadPropType,bad property type,
10,error,FE_BadRange,bad range,
10,error,FE_BadSelectionForOperation,bad selection for operation,
9,error,FE_OutOfRange,out of range,
8,error,FE_FailedState,failed state,
6,error,FE_NotMenu,not menu,
5,error,FE_CanceledByClient,canceled by client,
5,error,FE_GenRuleAmbiguous,gen rule ambiguous,
5,error,FE_GenRuleConnectorExpected,gen rule connector expected,
5,error,FE_GenRuleItemExpected,gen rule item expected,
